total_trans_amt,total_trans_ct,total_amt_chng_q4_q1,total_revolving_bal,total_ct_chng_q4_q1,months_inactive_12_mon,contacts_count_12_mon,total_relationship_count,credit_limit,avg_utilization_ratio
1389,34,0.542,1249,0.478,1,2,5,4214.0,0.296
3818,81,0.76,1227,0.588,2,2,3,15677.0,0.078
3339,51,0.6,1656,0.962,1,3,2,7452.0,0.222
1344,21,0.829,1998,1.1,2,3,3,18214.0,0.11
5049,75,0.814,0,0.63,3,3,3,13397.0,0.0
4351,79,0.708,615,0.717,2,1,2,19349.0,0.032
4426,91,0.605,0,0.784,2,2,6,1630.0,0.0
1694,44,0.963,1130,0.76,2,2,5,6985.0,0.162
3532,72,0.797,2413,0.674,3,3,6,4642.0,0.52
8565,70,0.836,534,0.795,2,4,4,4169.0,0.128
3561,73,0.614,1389,0.659,3,2,6,19826.0,0.07
1618,34,0.304,860,0.097,2,3,4,3137.0,0.274
4897,71,0.803,2517,1.088,1,3,2,2873.0,0.876
2169,48,1.288,909,1.182,2,4,3,1569.0,0.579
1698,41,0.501,1106,0.367,2,4,4,2224.0,0.497
4123,74,0.653,0,0.762,3,2,5,3538.0,0.0
4258,58,0.723,868,0.657,2,2,4,17835.0,0.049
4006,65,0.709,1243,0.548,1,3,3,3315.0,0.375
1974,54,0.424,0,0.688,2,2,5,17523.0,0.0
1406,28,1.029,2460,0.077,1,4,2,2802.0,0.878
3793,86,0.617,1328,0.654,2,2,3,11012.0,0.121
2469,34,0.519,0,0.417,2,3,3,1880.0,0.0
2519,53,0.663,1034,0.472,2,1,4,12836.0,0.081
2510,38,1.006,0,0.407,2,3,5,1749.0,0.0
4949,74,0.802,1702,0.762,2,1,4,2607.0,0.653
3348,50,0.947,1867,0.282,3,6,3,3333.0,0.56
4293,66,1.036,1830,0.692,2,2,1,4348.0,0.421
2325,56,0.782,0,0.556,3,2,1,1696.0,0.0
14111,98,0.631,1857,0.69,2,2,2,5023.0,0.37
3909,67,0.868,1482,0.675,2,3,4,2387.0,0.621
4683,87,0.678,0,0.706,2,3,6,1511.0,0.0
2313,43,0.665,2517,0.536,3,1,6,3591.0,0.701
3937,80,0.967,807,1.051,2,5,6,34516.0,0.023
2191,51,0.58,0,0.457,2,3,4,1438.3,0.0
4569,70,0.645,1663,0.667,3,1,5,2396.0,0.694
1488,26,0.414,1054,0.368,2,2,6,8960.0,0.118
2219,49,0.69,275,0.531,3,6,4,1628.0,0.169
2510,47,0.6,2517,0.621,3,3,5,3492.0,0.721
1348,27,1.707,972,1.7,1,2,5,4234.0,0.23
4392,83,0.922,0,0.766,1,3,3,2173.0,0.0
4294,66,0.393,1474,0.737,1,1,5,3351.0,0.44
4687,85,0.762,894,0.932,2,1,2,1438.3,0.622
2938,63,1.426,1529,0.703,2,2,6,10723.0,0.143
4488,84,0.827,0,0.826,1,4,6,1438.3,0.0
3626,69,0.88,0,0.683,2,5,6,16763.0,0.0
1686,50,0.758,2517,0.724,3,2,6,26714.0,0.094
4416,83,0.969,2371,0.844,3,3,5,2966.0,0.799
4442,64,0.554,1614,0.73,3,1,4,1986.0,0.813
4195,81,0.834,1860,0.653,1,3,5,2189.0,0.85
3331,67,0.572,597,0.675,4,4,4,2223.0,0.269
3806,61,0.602,1926,0.794,3,4,5,2720.0,0.708
4439,74,0.893,1672,0.682,3,3,6,2441.0,0.685
15108,118,0.71,1379,0.71,3,3,3,3523.0,0.391
4119,81,1.058,2258,0.884,3,2,6,3028.0,0.746
1834,43,1.027,1365,1.263,1,2,5,5238.0,0.261
2650,65,0.631,1990,0.912,1,2,3,23507.0,0.085
4631,76,0.919,1141,0.949,3,3,6,28390.0,0.04
1299,29,0.837,2104,0.812,3,2,4,8138.0,0.259
4943,70,0.852,0,0.795,1,3,5,5264.0,0.0
1509,45,0.879,1773,0.667,3,2,3,5146.0,0.345
4069,66,0.682,1429,0.737,2,3,1,6392.0,0.224
2027,49,0.705,2145,0.815,1,3,3,8881.0,0.242
4700,71,0.715,0,0.511,2,2,6,12559.0,0.0
4714,82,0.846,0,0.745,3,3,4,34516.0,0.0
4281,69,0.837,0,0.643,3,3,5,4692.0,0.0
15311,108,0.625,2057,0.714,3,2,5,31546.0,0.065
4979,77,0.613,0,0.571,2,2,5,1971.0,0.0
1112,23,0.475,2517,1.875,4,2,6,7000.0,0.36
1638,41,1.235,2517,0.519,2,4,4,3126.0,0.805
3913,86,0.771,1678,0.72,2,1,4,2576.0,0.651
2373,53,0.574,2517,0.359,2,1,1,2984.0,0.843
4633,79,0.631,1688,0.795,4,1,3,2235.0,0.755
1739,38,0.489,1252,0.226,3,4,6,10797.0,0.116
4598,86,0.539,1162,0.623,3,2,2,1438.3,0.808
4983,84,0.811,1345,0.867,2,2,6,2395.0,0.562
13392,92,0.752,2087,0.736,2,3,2,3181.0,0.656
3158,71,0.992,865,0.775,2,2,5,6778.0,0.128
14716,112,0.715,1131,0.75,1,3,1,34516.0,0.033
4133,68,0.636,2052,0.789,2,2,3,2589.0,0.793
1334,31,0.39,1418,0.409,3,3,6,2243.0,0.632
2767,43,0.714,1030,0.387,3,2,3,2527.0,0.408
1467,29,0.445,1736,0.706,3,5,3,3838.0,0.452
1483,41,1.509,1632,0.519,5,3,4,12302.0,0.133
4494,82,0.728,0,0.708,1,1,2,1438.3,0.0
1729,35,1.676,1586,0.75,1,2,4,2461.0,0.644
8150,106,0.855,1533,0.631,1,2,2,16199.0,0.095
4068,66,0.754,2087,0.61,1,4,4,7942.0,0.263
4709,87,0.684,0,0.776,3,3,3,3096.0,0.0
2118,41,0.726,399,0.519,2,1,5,34516.0,0.012
2826,39,0.862,0,0.625,3,3,6,3454.0,0.0
5026,79,0.909,1733,0.837,3,4,5,3200.0,0.542
4133,78,0.604,728,0.529,2,3,5,1536.0,0.474
1804,34,0.371,1476,0.259,3,4,1,1726.0,0.855
3772,74,0.862,2517,1.0,3,2,4,3317.0,0.759
1329,24,0.715,1748,0.6,1,3,5,21684.0,0.081
4892,94,0.802,1466,0.593,2,3,2,10973.0,0.134
3882,92,0.665,1411,0.643,2,1,2,2120.0,0.666
4100,79,0.631,0,0.681,3,3,3,21374.0,0.0
5577,95,0.645,1687,0.759,3,2,2,3336.0,0.506
14465,125,0.719,1604,0.712,3,1,2,12648.0,0.127
1794,45,0.66,0,0.875,2,2,6,1438.3,0.0
4025,69,0.801,1632,0.683,3,4,6,2179.0,0.749
1617,29,0.63,2517,1.417,2,2,6,3034.0,0.83
3764,64,0.557,1190,0.524,3,5,3,4939.0,0.241
4307,76,0.888,696,0.9,4,4,4,1438.3,0.484
4459,65,0.644,0,0.477,2,2,3,1438.3,0.0
2275,46,0.807,1938,0.438,4,2,5,34516.0,0.056
4265,87,0.577,1681,0.776,3,3,4,2705.0,0.621
4509,80,0.643,0,0.569,2,1,4,1438.3,0.0
3247,69,1.117,1661,0.865,2,4,6,2793.0,0.595
9185,100,0.798,1440,0.695,1,1,2,11814.0,0.122
1217,20,0.397,1128,0.667,2,3,3,6335.0,0.178
1537,35,0.654,1006,0.591,3,2,5,21782.0,0.046
15274,108,0.64,1091,0.714,2,2,5,34516.0,0.032
1798,45,0.607,0,0.731,2,3,3,4241.0,0.0
1844,37,0.564,0,0.609,3,3,3,5026.0,0.0
3203,64,0.532,0,0.829,2,0,3,6103.0,0.0
747,19,0.935,0,0.583,1,2,2,8990.0,0.0
4070,71,0.68,721,0.614,3,2,4,3009.0,0.24
8480,71,0.969,0,0.821,2,6,5,34516.0,0.0
1826,37,0.787,1532,0.609,1,2,6,5159.0,0.297
2043,52,0.612,0,1.0,3,4,4,5137.0,0.0
1763,44,0.814,1691,0.189,2,3,3,15405.0,0.11
14287,106,0.67,1195,0.828,1,2,5,20144.0,0.059
1233,35,0.509,1928,0.4,1,4,5,3182.0,0.606
3950,65,0.576,0,0.548,2,1,3,1829.0,0.0
1890,43,0.407,834,0.387,2,2,3,1438.3,0.58
3832,87,0.634,0,0.673,3,3,6,1438.3,0.0
1205,19,0.702,1880,0.462,1,3,6,12786.0,0.147
3311,84,1.19,1020,0.75,2,3,3,24248.0,0.042
2142,62,0.667,0,0.378,3,3,3,17557.0,0.0
5198,75,0.899,0,1.083,1,3,3,7234.0,0.0
3315,47,0.64,0,0.382,3,2,2,29890.0,0.0
4094,77,0.873,1640,0.638,1,4,3,2573.0,0.637
4262,70,0.75,1808,0.667,2,4,5,3589.0,0.504
4150,70,0.718,1038,0.591,3,0,3,1638.0,0.634
4082,74,0.925,585,0.682,1,3,4,7976.0,0.073
9242,63,0.923,0,0.909,1,3,3,6075.0,0.0
4198,65,0.622,736,0.912,3,2,3,1485.0,0.496
8646,97,0.837,1696,0.902,3,3,5,23981.0,0.071
4596,82,0.677,0,0.745,2,3,4,1438.3,0.0
1366,25,0.869,1254,0.786,2,1,5,34516.0,0.036
1354,25,0.631,1466,0.316,1,4,5,2661.0,0.551
708,14,0.718,0,0.4,2,3,2,6414.0,0.0
4301,58,0.873,755,1.417,3,3,2,4057.0,0.186
4436,79,0.723,0,0.756,3,1,5,8241.0,0.0
14838,110,0.679,1491,0.642,3,3,5,26812.0,0.056
16161,105,0.839,1200,0.944,3,2,3,12944.0,0.093
4750,89,0.7,2214,0.978,3,2,1,3029.0,0.731
1687,62,0.598,0,0.59,3,0,6,2506.0,0.0
4378,81,0.702,2517,0.884,2,1,1,2625.0,0.959
4444,70,0.458,1519,0.667,3,2,6,5774.0,0.263
1558,46,0.544,2320,0.643,1,3,3,5927.0,0.391
1221,16,0.632,2517,2.2,1,2,5,6111.0,0.412
4372,69,0.929,1667,0.683,3,2,5,3976.0,0.419
5039,82,0.894,1561,0.745,3,3,1,2540.0,0.615
3444,80,1.251,0,0.702,1,4,6,14575.0,0.0
1629,43,0.647,1530,0.344,4,4,3,6256.0,0.245
4026,65,0.491,1416,0.512,2,1,5,34516.0,0.041
2045,53,0.69,1561,1.65,2,1,5,4761.0,0.328
1469,29,0.476,2508,0.812,2,2,3,11811.0,0.212
2299,42,0.602,0,0.312,3,2,5,1462.0,0.0
1848,56,0.678,0,0.514,3,4,3,8217.0,0.0
1712,37,0.709,1060,0.609,2,2,3,7087.0,0.15
4893,76,0.911,1346,0.81,2,2,6,2256.0,0.597
2476,49,0.717,0,0.75,3,3,2,4618.0,0.0
2399,57,1.073,2192,0.966,2,2,3,2919.0,0.751
4299,59,0.636,871,0.844,2,3,3,1978.0,0.44
2823,61,0.64,0,0.794,3,2,6,20968.0,0.0
4342,62,0.78,1059,0.771,5,0,6,3114.0,0.34
2596,59,0.837,795,1.034,1,0,3,5387.0,0.148
4282,82,0.665,2366,0.783,3,3,4,3203.0,0.739
1646,39,1.16,2098,1.294,2,2,3,11910.0,0.176
7535,92,0.84,1913,0.673,2,1,3,34516.0,0.055
2341,43,0.568,412,0.483,2,3,5,1554.0,0.265
2342,40,0.831,0,0.6,2,6,6,4535.0,0.0
2675,37,0.735,0,0.48,2,3,3,3474.0,0.0
15097,115,0.689,0,0.797,3,5,6,9764.0,0.0
2098,31,0.412,0,0.409,4,2,3,2344.0,0.0
1734,39,0.797,1503,1.167,2,0,3,7984.0,0.188
2755,53,0.892,759,0.559,6,3,6,2210.0,0.343
4267,75,0.843,1405,0.596,3,2,1,3420.0,0.411
7437,94,0.738,2410,0.709,3,1,1,5306.0,0.454
4897,96,0.824,0,0.778,2,1,2,1438.3,0.0
4889,62,0.434,1248,0.632,4,3,3,4176.0,0.299
4071,64,0.671,1749,0.73,2,4,3,13193.0,0.133
15279,122,0.654,1285,0.649,1,3,5,34516.0,0.037
3459,53,0.627,0,0.71,2,2,1,5578.0,0.0
4348,86,0.741,2379,0.955,3,4,4,2420.0,0.983
1774,42,0.674,1565,2.0,2,2,6,29770.0,0.053
4191,77,0.682,1513,0.833,2,3,6,2310.0,0.655
2400,60,1.362,1483,0.622,3,2,4,2061.0,0.72
4906,80,0.657,1263,0.818,3,2,2,2005.0,0.63
978,16,0.788,1985,0.778,1,2,5,2393.0,0.83
7570,88,0.72,1618,0.544,3,2,1,7566.0,0.214
4748,74,0.588,1634,0.51,3,3,6,2902.0,0.563
2361,42,0.696,2517,0.826,1,2,3,3128.0,0.805
2333,56,0.795,2037,0.697,3,3,4,7272.0,0.28
7155,66,0.735,2517,0.65,3,2,3,34516.0,0.073
1661,35,0.663,845,0.4,1,2,3,9033.0,0.094
15634,118,0.616,0,0.639,3,1,2,19534.0,0.0
2290,62,0.61,0,0.632,1,2,6,14365.0,0.0
5101,76,0.645,1303,0.617,3,1,3,2278.0,0.572
3691,69,0.638,1446,0.917,3,3,5,3545.0,0.408
4405,55,0.786,2517,1.391,1,2,5,3349.0,0.752
4180,71,0.849,0,0.919,3,3,4,1714.0,0.0
4136,77,0.806,696,1.2,1,2,3,8294.0,0.084
1238,25,0.484,2517,1.083,1,2,3,3955.0,0.636
2944,71,0.742,0,0.972,3,1,4,16317.0,0.0
5025,62,0.883,923,0.879,2,2,3,4978.0,0.185
2041,57,0.494,1576,0.9,3,2,3,2694.0,0.585
14926,115,0.647,972,0.742,1,2,1,9711.0,0.1
5161,83,1.121,0,0.766,3,3,3,4068.0,0.0
1512,27,1.207,1301,1.455,3,2,4,8863.0,0.147
4497,68,0.72,1699,0.789,3,0,4,2535.0,0.67
3858,70,0.864,1589,0.522,1,3,6,2636.0,0.603
2987,73,0.384,663,0.622,3,1,3,1438.3,0.461
5298,79,0.881,2269,0.837,2,1,6,2605.0,0.871
1352,30,0.514,1995,0.429,3,3,3,2938.0,0.679
1526,44,0.884,2403,1.0,3,4,4,2801.0,0.858
14375,112,0.671,879,0.672,3,1,3,27494.0,0.032
4354,79,0.667,1244,0.927,1,1,4,6548.0,0.19
4976,88,0.917,2398,0.692,2,4,6,34516.0,0.069
1343,41,0.646,1630,0.519,3,2,6,32349.0,0.05
3535,57,0.882,868,1.111,3,2,5,5155.0,0.168
2257,54,0.666,2517,0.8,3,2,3,4274.0,0.589
4516,78,0.626,995,0.625,4,2,4,2123.0,0.469
1741,43,0.736,0,0.654,1,2,4,1830.0,0.0
2661,58,0.79,2078,0.871,1,2,6,5494.0,0.378
1534,35,0.539,2517,0.591,3,5,6,3257.0,0.773
7209,91,0.743,1388,0.596,3,1,2,25736.0,0.054
5002,60,0.463,1333,0.5,3,3,6,22304.0,0.06
4509,74,0.836,0,0.451,1,1,4,1438.3,0.0
2496,41,0.798,357,0.64,4,2,2,4789.0,0.075
3043,53,1.135,1546,1.038,5,3,4,3492.0,0.443
2660,51,1.36,1362,0.759,2,4,5,6660.0,0.205
2366,49,1.589,1996,0.69,3,3,5,5634.0,0.354
4613,73,0.626,1934,0.553,2,3,5,34516.0,0.056
2023,38,0.504,710,0.727,1,2,4,4205.0,0.169
2858,71,0.863,844,0.69,1,4,5,4439.0,0.19
9772,71,1.046,0,0.775,2,2,6,13651.0,0.0
3989,62,0.902,1284,0.938,1,2,3,1793.0,0.716
3502,87,0.847,2084,0.933,1,2,3,10745.0,0.194
4542,73,0.758,1298,0.921,2,3,4,1804.0,0.72
4439,65,0.776,1242,0.806,2,3,5,1768.0,0.702
1935,40,0.413,0,0.429,2,1,3,8869.0,0.0
2507,64,0.68,765,0.641,3,3,5,28200.0,0.027
3346,69,1.255,979,1.156,2,4,3,22224.0,0.044
4738,82,0.656,2025,0.673,1,2,6,6500.0,0.312
4006,72,1.126,0,0.946,1,1,5,1438.3,0.0
3955,72,0.67,621,0.756,3,4,5,7764.0,0.08
1258,23,0.707,795,1.3,1,3,5,5214.0,0.152
4759,70,0.687,1459,0.556,2,4,4,31756.0,0.046
4729,92,0.864,1520,0.704,3,3,3,1843.0,0.825
3962,62,0.615,2081,0.938,1,1,5,3210.0,0.648
4681,74,0.563,1318,0.682,1,2,3,8795.0,0.15
2879,63,0.847,2051,0.703,1,5,3,8418.0,0.244
7689,84,0.716,2517,0.68,2,3,2,6218.0,0.405
1300,25,0.898,2192,1.083,2,1,5,14596.0,0.15
3825,67,0.552,1219,0.675,1,4,3,6197.0,0.197
1565,28,1.186,1662,1.545,2,3,3,19270.0,0.086
4823,62,0.768,932,0.824,4,3,3,2428.0,0.384
3699,64,0.706,1427,0.488,1,3,1,34516.0,0.041
13853,98,0.628,1723,0.782,2,3,1,34516.0,0.05
3564,73,0.688,1436,0.825,4,2,3,34516.0,0.042
4093,73,0.675,538,0.659,2,2,6,1438.3,0.374
3651,76,1.01,0,0.652,1,3,4,5070.0,0.0
8027,94,0.709,0,0.679,3,3,2,11343.0,0.0
13578,105,0.751,1662,0.615,3,2,1,34516.0,0.048
2619,69,0.766,0,0.917,2,4,5,32096.0,0.0
4727,83,0.565,1619,0.627,3,3,5,2636.0,0.614
2422,41,0.464,2221,0.464,3,4,1,4742.0,0.468
2609,42,0.882,2517,0.615,3,1,3,3036.0,0.829
2682,48,0.567,468,0.231,3,3,2,5195.0,0.09
3398,67,0.557,1519,0.763,1,1,5,19272.0,0.079
1725,60,0.69,2472,0.622,2,2,6,4438.0,0.557
3809,71,0.62,800,0.511,3,1,5,9132.0,0.088
4344,68,1.043,1501,1.194,3,2,3,2822.0,0.532
3856,68,0.772,1430,1.061,3,2,3,13906.0,0.103
2401,71,0.823,1344,0.732,3,5,6,6316.0,0.213
4549,70,0.667,1987,0.75,1,2,3,2900.0,0.685
2312,49,0.573,1397,0.581,3,3,3,3875.0,0.361
1137,27,0.914,1335,0.929,3,3,5,5903.0,0.226
13804,123,0.745,990,0.732,2,1,3,4549.0,0.218
2005,62,1.158,1380,0.59,2,3,6,2019.0,0.684
8004,82,0.914,0,0.708,6,1,1,5859.0,0.0
4746,75,1.033,2378,0.875,2,2,2,2516.0,0.945
2477,49,1.085,827,1.042,1,4,5,15936.0,0.052
1726,42,0.417,0,0.312,1,3,6,19032.0,0.0
4811,68,0.797,0,0.889,3,2,4,3670.0,0.0
5014,99,0.852,0,0.623,4,3,5,1814.0,0.0
4306,63,0.637,0,0.75,1,1,4,4632.0,0.0
4950,70,0.89,2148,0.707,1,3,4,7508.0,0.286
1464,28,1.32,886,0.556,3,2,3,3672.0,0.241
4699,72,0.568,1300,0.714,2,4,6,8973.0,0.145
4175,63,0.661,1999,0.537,3,3,3,11367.0,0.176
1921,37,1.113,1631,0.85,3,4,5,13355.0,0.122
1398,24,0.47,2015,0.714,2,4,6,2413.0,0.835
2753,45,1.014,0,0.607,4,1,1,5155.0,0.0
4801,47,1.033,0,0.382,2,1,2,9405.0,0.0
1887,60,0.508,1253,0.538,4,2,6,1654.0,0.758
2171,48,0.542,0,0.778,3,4,2,16163.0,0.0
4107,59,0.313,2016,0.639,2,4,6,4514.0,0.447
4492,71,0.584,2213,0.821,2,3,4,34516.0,0.064
1422,30,0.529,2169,0.579,1,4,6,12554.0,0.173
4496,77,0.983,0,0.925,1,3,3,1711.0,0.0
3684,64,0.801,1151,0.829,3,2,5,4944.0,0.233
2530,50,1.328,1986,0.724,2,2,6,3152.0,0.63
4853,78,0.61,0,0.592,2,3,2,1593.0,0.0
3013,78,0.958,0,0.696,1,2,3,17236.0,0.0
3365,63,0.634,1469,0.75,3,4,6,4830.0,0.304
3906,77,0.574,1329,0.51,2,5,4,34516.0,0.039
2790,37,0.707,0,0.321,3,3,3,1670.0,0.0
1201,42,0.831,1467,0.68,3,2,5,6748.0,0.217
4590,91,0.743,1762,0.655,2,4,3,1953.0,0.902
4170,80,0.72,2517,0.739,1,3,3,5523.0,0.456
720,23,0.622,2227,0.353,3,2,3,11669.0,0.191
4722,81,0.895,0,0.841,5,1,2,1438.3,0.0
4121,81,0.995,2183,0.761,2,1,3,21670.0,0.101
3651,67,0.68,769,0.718,1,2,4,9300.0,0.083
4812,79,0.869,1379,0.717,4,2,4,2411.0,0.572
1946,37,0.864,1291,0.542,4,2,3,21927.0,0.059
1161,44,0.466,0,0.375,3,2,5,6347.0,0.0
15860,105,0.992,1698,0.75,3,2,2,7659.0,0.222
2584,66,0.731,1848,0.833,3,3,6,24149.0,0.077
4091,71,0.598,1499,0.651,3,3,2,2072.0,0.723
4759,98,0.854,0,0.719,3,2,4,1513.0,0.0
4610,78,0.86,1461,0.773,2,3,1,2446.0,0.597
3313,72,0.822,0,0.756,3,4,6,5908.0,0.0
3692,84,0.708,2231,0.647,2,1,4,11186.0,0.199
3825,63,0.613,0,0.537,3,4,6,4341.0,0.0
4839,61,0.596,0,0.649,2,4,4,8138.0,0.0
1543,35,0.765,1806,0.591,2,2,3,2798.0,0.645
2008,37,0.59,1862,0.682,1,3,4,8431.0,0.221
3651,60,0.705,1482,0.818,5,2,6,3417.0,0.434
4251,69,0.67,1499,0.533,3,4,6,2645.0,0.567
1325,29,0.442,2053,0.381,3,2,4,5015.0,0.409
4606,83,0.825,2002,0.804,2,3,4,3188.0,0.628
3472,51,0.414,1864,0.457,1,4,6,12952.0,0.144
968,23,0.391,0,0.533,2,4,1,6152.0,0.0
3533,59,0.811,0,0.788,1,5,3,15027.0,0.0
4328,73,0.824,2177,0.622,1,1,6,5427.0,0.401
2777,45,0.702,2517,0.552,4,2,4,23958.0,0.105
15199,96,0.648,2517,0.684,3,2,3,3784.0,0.665
4917,78,0.857,1516,0.95,1,2,5,2383.0,0.636
2112,46,0.753,1761,0.769,3,3,5,2111.0,0.834
8102,66,0.951,2517,0.886,1,3,2,4246.0,0.593
2598,47,0.868,0,0.469,3,3,6,3052.0,0.0
5080,76,0.615,1676,0.81,3,2,3,4642.0,0.361
1241,22,1.181,1902,1.0,3,2,6,7723.0,0.246
1407,43,0.51,1914,0.483,2,1,4,3520.0,0.544
15212,124,0.869,1294,0.746,1,1,3,7469.0,0.173
2395,57,0.828,1586,0.781,1,4,4,4583.0,0.346
4329,80,0.561,1772,0.86,3,2,3,4860.0,0.365
7345,93,0.779,0,0.55,2,3,2,11954.0,0.0
2971,54,1.052,2517,0.742,3,3,4,10587.0,0.238
4793,88,0.898,0,0.63,3,3,1,4607.0,0.0
15162,99,0.779,561,0.678,3,2,3,20501.0,0.027
777,13,0.612,0,0.625,3,4,5,7246.0,0.0
4847,49,1.046,2517,0.815,2,1,1,25894.0,0.097
7498,90,0.608,1874,0.5,2,1,2,10901.0,0.172
2228,37,0.841,2268,0.85,2,4,1,16362.0,0.139
1417,25,0.803,1166,0.25,1,3,3,6175.0,0.189
4942,76,0.857,607,0.652,1,4,4,13284.0,0.046
4554,75,0.597,2131,0.562,3,3,6,2943.0,0.724
1279,41,0.757,0,0.708,4,3,6,16320.0,0.0
3210,52,0.966,1426,0.733,2,3,6,2124.0,0.671
8528,87,0.872,0,1.122,2,2,1,32554.0,0.0
1480,35,0.63,1366,0.458,4,5,6,4230.0,0.323
2978,61,0.588,1112,0.906,1,1,3,1663.0,0.669
3101,54,1.065,887,1.0,3,1,4,18927.0,0.047
2017,47,0.739,1479,0.679,3,2,5,6605.0,0.224
3675,59,0.657,0,1.107,2,3,4,9465.0,0.0
2237,39,0.653,0,0.393,2,4,4,21961.0,0.0
14999,110,0.549,1254,0.719,2,3,4,4184.0,0.3
4200,86,0.921,0,0.536,3,1,6,1438.3,0.0
2307,28,0.724,0,0.474,3,4,3,2712.0,0.0
5211,83,0.755,1336,0.804,2,3,5,2517.0,0.531
2411,60,0.671,1377,0.714,3,2,4,2002.0,0.688
3150,70,0.999,1899,0.489,1,4,4,7469.0,0.254
5170,93,0.722,0,0.86,3,3,5,3913.0,0.0
715,13,0.819,537,0.182,4,3,2,1438.3,0.373
4889,89,0.715,0,0.854,3,1,3,14044.0,0.0
4509,79,0.931,578,0.717,2,4,3,5299.0,0.109
3778,83,0.857,974,0.694,2,2,3,18410.0,0.053
2221,57,0.743,1169,0.727,2,4,3,6269.0,0.186
3018,80,0.812,0,0.778,2,2,4,2999.0,0.0
2262,47,0.664,620,0.424,3,3,6,2647.0,0.234
4682,77,0.765,2517,0.711,2,1,1,5087.0,0.495
4297,64,1.038,869,0.778,1,3,5,3532.0,0.246
1350,32,0.722,2061,0.455,2,3,2,34516.0,0.06
1766,45,1.018,1999,0.667,1,3,3,5530.0,0.361
3513,59,0.838,0,0.686,2,0,3,1898.0,0.0
3060,56,1.19,888,0.647,1,1,4,1454.0,0.611
7464,66,0.652,2517,0.692,3,3,6,13753.0,0.183
1411,28,1.75,1490,1.0,2,3,5,2650.0,0.562
16373,114,1.015,1484,0.9,2,2,2,34516.0,0.043
4303,77,0.966,1417,0.638,3,4,6,34516.0,0.041
1833,27,0.766,1695,0.588,1,3,4,2158.0,0.785
2780,57,0.745,1414,0.727,2,4,6,3586.0,0.394
4102,78,0.607,0,0.857,2,3,3,1438.3,0.0
2807,60,1.235,1969,0.714,3,4,4,2997.0,0.657
4609,79,0.605,1523,0.756,1,1,4,2865.0,0.532
4384,78,0.739,1548,0.857,2,1,4,2281.0,0.679
4692,91,0.756,0,0.596,2,2,4,1438.3,0.0
2341,37,0.868,0,0.37,4,2,5,1977.0,0.0
4374,71,0.951,0,0.775,2,3,4,1438.3,0.0
2447,47,0.845,1900,0.621,3,3,4,2347.0,0.81
1673,32,1.656,895,0.882,4,3,6,1709.0,0.524
2032,39,0.426,2517,0.444,2,2,1,13093.0,0.192
1972,37,0.788,1650,0.947,2,2,3,3436.0,0.48
3986,64,0.851,1899,0.73,1,4,6,17753.0,0.107
3890,78,0.657,785,0.66,3,2,2,2174.0,0.361
4512,90,0.694,1334,0.765,3,0,1,1921.0,0.694
5154,80,1.035,2085,0.86,2,3,4,2909.0,0.717
1096,29,0.906,0,0.526,3,2,2,5674.0,0.0
1525,21,0.482,1300,0.5,3,3,3,27745.0,0.047
1516,32,0.838,2517,0.391,3,2,4,4824.0,0.522
4657,82,0.673,644,0.907,3,2,6,2172.0,0.297
1584,28,0.548,1209,0.273,3,3,3,9959.0,0.121
3434,71,0.838,1695,0.479,3,3,4,18064.0,0.094
4425,75,0.799,2361,0.63,2,4,6,12698.0,0.186
1578,41,0.742,1601,0.414,3,3,4,2066.0,0.775
4177,63,0.537,1292,0.75,1,2,3,12295.0,0.105
3899,65,0.625,1980,0.711,3,2,3,3302.0,0.6
2538,49,0.665,632,0.581,3,3,4,2223.0,0.284
5065,80,0.726,989,0.667,1,1,1,1983.0,0.499
1631,41,0.711,1656,0.323,1,0,4,5108.0,0.324
7592,96,0.666,2517,0.524,3,2,1,15048.0,0.167
5924,88,0.796,2219,0.63,3,2,3,2802.0,0.792
4030,73,0.872,1548,0.78,2,3,5,9065.0,0.171
1000,18,0.742,0,0.059,3,3,3,13450.0,0.0
1140,40,0.624,1227,0.6,1,1,5,4745.0,0.259
7679,64,0.744,1360,0.684,3,0,2,7350.0,0.185
14127,116,0.776,0,0.731,1,3,1,34516.0,0.0
5031,79,0.612,1353,0.646,2,4,4,24931.0,0.054
4043,76,0.803,1307,0.9,2,2,3,9723.0,0.134
4146,64,0.715,1166,0.882,3,1,1,30300.0,0.038
1871,32,0.749,783,0.684,4,1,2,13883.0,0.056
2058,70,0.496,0,0.842,2,4,4,9919.0,0.0
8387,102,0.718,1149,0.759,2,3,1,8861.0,0.13
2028,51,0.895,0,0.545,6,1,5,12315.0,0.0
1540,30,0.591,753,0.429,1,5,5,5188.0,0.145
3441,66,0.547,2022,0.65,3,4,6,2865.0,0.706
4347,69,0.789,0,0.683,1,4,3,4786.0,0.0
5066,71,0.727,969,0.821,3,3,6,5005.0,0.194
14257,94,0.718,2266,0.958,1,3,6,4014.0,0.565
14934,113,0.842,2267,0.823,2,3,1,3029.0,0.748
4044,66,1.026,703,0.65,3,5,4,4465.0,0.157
4201,68,0.68,1811,1.125,1,2,4,2252.0,0.804
4047,75,0.572,866,0.667,2,4,3,7109.0,0.122
14305,102,0.775,0,0.645,1,3,2,9060.0,0.0
1144,42,1.335,777,1.625,1,3,5,12691.0,0.061
4347,88,0.696,1785,0.76,3,1,4,1870.0,0.955
